Código;Descrição;Descrição complementar;Grupo;Procedência;Unid;Preço min vnd (R$);Preço vnd (R$);Custo orç;% markup;Conv vnd;Conv cpr;Peso líq unitário (kg);Peso bruto unitário (kg);Descrição do grupo;Dentro do grupo (código);Dentro do grupo (descrição);Desenho;Revisão desenho;Moeda custo;Qt/vol;Preço cmp (R$);Estocagem;IPI (%);Tipo custo;Estoque mínimo;Ponto de ressuprimento;Lote mínimo;Lote múltiplo;Origem da mercadoria;Prazo de aquisição(dias);Número da FCI;GTIN;Criado em;GTIN unid tributável;Criado por;Alterado por;CEST;Alterado em;Origem da mercadoria;Tipo contábil;NCM;Estado;Observações;Observações técnicas;Endereço de estoque padrão
T00204;CHAPA MISTA MDF+PVC 2199X1850X18MM;;016CBT;Fabricado;PC;;;;;;;;;CHAPA MISTA MDF+PVC 18MM;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;17/11/2025 13:24;;Everaldo;Everaldo;;17/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00203;BASE BATENTE PADRÃO SI 2199X116X18MM;;014CBT;Fabricado;PC;;;;;;;;;BASE PARA BATENTE SOLEIRA IMPERMEAVEL;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;17/11/2025 13:24;;Everaldo;Everaldo;;17/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00202;BASE BATENTE PADRÃO SI 1000X71X18MM;;014CBT;Fabricado;PC;;;;;;;;;BASE PARA BATENTE SOLEIRA IMPERMEAVEL;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;17/11/2025 12:06;;Everaldo;Everaldo;;17/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00201;CHAPA MISTA MDF+PVC 1000X1850X18MM;;016CBT;Fabricado;PC;;;;;;;;;CHAPA MISTA MDF+PVC 18MM;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;17/11/2025 11:58;;Everaldo;Everaldo;;17/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00200;BASE BATENTE PADRÃO SI 1000X100X18MM;;014CBT;Fabricado;PC;;;;;;;;;BASE PARA BATENTE SOLEIRA IMPERMEAVEL;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;17/11/2025 11:58;;Everaldo;Everaldo;;17/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00190;ALIZAR TAPA TRILHO RECOBERTO REN PRT|2750X90X9MM;;AL0202R001;Fabricado;PC;;;;;;;;;ALIZAR TAPA TRLIHO HDF RECOBERTO 90X9MM;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;17/11/2025 09:17;;Everaldo;Everaldo;;17/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00189;ALIZAR TAPA TRILHO ACABADO REN PRT|2200X90X9MM;;AL0202A001;Fabricado;PC;;;;;;;;;ALIZAR TAPA TRLIHO HDF ACABADO 90X9MM;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;17/11/2025 09:17;;Everaldo;Everaldo;;17/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00188;ALIZAR MACIÇO LAT INVERSO HASTE MAIOR ACABADO REN PRT|2199X70X15MM BASE 6MM REGULAGEM 10MM - TR;ALIZAR MACIÇO LATERAL INVERSO HDF HASTE MAIOR ACABADO - TOPO RETO;AL0201A005;Fabricado;PC;;;;;;;;;ALIZAR MACIÇO LATERAL INVERSO HDF HASTE MAIOR ACABADO - TOPO RETO;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;17/11/2025 09:17;;Everaldo;Everaldo;;26/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00187;ALIZAR MACIÇO LATERAL HASTE MENOR ACABADO REN PRT|2199X70X15MM BASE 6MM REGULAGEM 10MM - TR;ALIZAR MACIÇO LATERAL HDF HASTE MENOR ACABADO - TOPO RETO;AL0201A004;Fabricado;PC;;;;;;;;;ALIZAR MACIÇO LATERAL HDF HASTE MENOR ACABADO - TOPO RETO;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;17/11/2025 09:17;;Everaldo;Everaldo;;17/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
T00186;ALIZAR MACIÇO LATERAL HASTE MAIOR ACABADO REN PRT|2199X70X15MM BASE 6MM REGULAGEM 65MM - TR;ALIZAR MACIÇO LATERAL HDF HASTE MAIOR ACABADO - TOPO RETO;AL0201A003;Fabricado;PC;;;;;;;;;ALIZAR MACIÇO LATERAL HDF HASTE MAIOR ACABADO - TOPO RETO;;;;;R$;0;;Código do item;0,00%;Normal;0;0;0;0;0;0;;;17/11/2025 09:17;;Everaldo;Everaldo;;17/11/2025;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8;Matéria-prima;44182900;Ativo;;;
